"","ID","PlayerID","Date","LocalTime","StandardTime","PickBan","WarmUp","Advantage","Map","StartSide","TKills","TAssists","TDeaths","CTKills","CTAssists","CTDeaths","Damage","ADR","HS","Result","Rank","Queue","Rating","AvgFriendly","AvgEnemy","AverageOverall","Comments","KASTPercentage","GamesToday","LossStreak","WinStreak","LeetifyRating","LeetifyPosition","LeetifyAim","LeetifyUtility","gamesTest","SID","eloDiff","MTime","dayDifference","TotalKills","TotalAssists","TotalDeaths","AvgDelta","KDR"
"1",1,1,2023-10-02,1899-12-31 11:25:00,1899-12-31 11:25:00,"Second","None","Neither","Nuke","CT",8,1,6,6,2,6,1420,67,35,"Win",3739,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,"Prem 1",201,11:25:00,NA,14,3,12,NA,1.16666666666667
"2",2,1,2023-10-03,1899-12-31 11:34:00,1899-12-31 11:34:00,"Second","None","Us","Anubis","CT",0,3,5,5,4,10,925,40,20,"Win",3940,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,1,"Prem 2",59,11:34:00,1,5,7,15,NA,0.333333333333333
"3",3,1,2023-10-03,1899-12-31 20:31:00,1899-12-31 20:31:00,"Second","AimLabs","Us","Overpass","T",3,2,10,2,2,4,892,55,40,"Loss",3999,1,NA,NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,2,"Prem 3",0,20:31:00,0,5,4,14,NA,0.357142857142857
"4",6,1,2023-10-04,1899-12-31 10:31:00,1899-12-31 10:31:00,"First","None","Neither","Vertigo","T",8,3,10,5,4,7,1683,84,23,"Loss",3999,1,NA,NA,NA,NA,NA,NA,1,4,0,NA,NA,NA,NA,1,"Prem 6",0,10:31:00,1,13,7,17,NA,0.764705882352941
"5",11,1,2023-10-05,1899-12-31 21:52:00,1899-12-31 21:52:00,"Second","None","Us","Ancient","CT",4,4,4,6,1,11,890,46,0,"Loss",4000,1,NA,NA,NA,NA,NA,NA,2,4,0,NA,NA,NA,NA,2,"Prem 11",0,21:52:00,0,10,5,15,NA,0.666666666666667
"6",14,1,2023-10-06,1899-12-31 15:53:00,1899-12-31 15:53:00,"First","AimLabs","Neither","Overpass","CT",5,3,4,11,7,7,1974,116,31,"Win",4000,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 14",112,15:53:00,1,16,10,11,NA,1.45454545454545
"7",15,1,2023-10-08,1899-12-31 10:23:00,1899-12-31 10:23:00,"Second","None","Them","Vertigo","T",7,4,11,1,1,4,1068,66,37,"Loss",4112,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,1,"Prem 15",-112,10:23:00,2,8,5,15,NA,0.533333333333333
"8",16,1,2023-10-08,1899-12-31 10:57:00,1899-12-31 10:57:00,"Second","None","Us","Overpass","CT",5,1,3,5,4,7,1308,72,40,"Win",4000,1,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,2,"Prem 16",107,10:57:00,0,10,5,10,NA,1
"9",17,1,2023-10-08,1899-12-31 11:28:00,1899-12-31 11:28:00,"First","None","Us","Anubis","T",9,2,7,8,2,8,2128,92,23,"Loss",4107,1,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,2,"Prem 17",-107,11:28:00,0,17,4,15,NA,1.13333333333333
"10",18,1,2023-10-08,1899-12-31 21:25:00,1899-12-31 21:25:00,"First","None","Them","Mirage","T",1,4,11,1,2,4,737,100,43,"Loss",4000,1,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,2,"Prem 18",0,21:25:00,0,2,6,15,NA,0.133333333333333
