ID,Date,LocalTime,StandardTime,PickBan,WarmUp,Server,KnifeResult,Map,StartSide,TKills,TAssists,TDeaths,CTKills,CTAssists,CTDeaths,Damage,ADR,HS,Result,Rank,Queue,Rating,WinProb,AvgFriendly,AvgEnemy,AverageOverall,Comments,GamesToday,LossStreak,WinStreak,LeetifyRating,LeetifyPosition,LeetifyAim,LeetifyUtility
1.0,2024-05-06,20:57:00,20:57:00,Second,,,,Dust II,CT,3.0,1.0,6.0,1.0,1.0,9.0,,36.0,50.0,Loss,1000.0,1.0,0.27,49.0,974.0,997.0,985.5,,1,1,0,,,,
2.0,2024-05-06,21:43:00,21:43:00,First,Aimlabs,,,Mirage,T,9.0,2.0,11.0,15.0,3.0,6.0,2279.0,75.0,33.0,Loss,951.0,1.0,1.35,49.0,942.0,970.0,956.0,,2,2,0,,,,
3.0,2024-05-06,23:03:00,23:03:00,Second,Aimlabs,,,Anubis,T,9.0,3.0,9.0,7.0,3.0,12.0,1966.0,67.0,25.0,Win,902.0,1.0,0.9,51.0,1004.0,991.0,997.5,,3,0,1,,,,
4.0,2024-05-07,11:07:00,11:07:00,Second,Aimlabs,,,Vertigo,T,8.0,1.0,11.0,0.0,0.0,0.0,795.0,61.0,25.0,Loss,951.0,1.0,0.8,50.0,830.0,828.0,829.0,T-S,1,4,0,,,,
5.0,2024-05-07,11:39:00,11:39:00,Second,,,,Inferno,T,5.0,3.0,10.0,2.0,5.0,7.0,991.0,47.0,42.0,Win,906.0,1.0,0.56,50.0,972.0,978.0,975.0,,2,0,1,,,,
6.0,2024-05-07,12:34:00,12:34:00,First,Aimlabs,,,Anubis,CT,11.0,9.0,18.0,13.0,6.0,12.0,2989.0,72.0,16.0,Loss,946.0,1.0,1.02,52.0,925.0,885.0,905.0,,3,3,0,,,,
7.0,2024-05-07,16:36:00,16:36:00,First,,,,Dust II,CT,4.0,3.0,7.0,4.0,5.0,12.0,1434.0,59.0,50.0,Loss,910.0,1.0,0.68,50.0,992.0,996.0,994.0,,4,4,0,,,,
8.0,2024-05-07,17:45:00,17:45:00,Second,Aimlabs,,,Mirage,T,5.0,2.0,10.0,3.0,4.0,9.0,1432.0,59.0,25.0,Loss,880.0,1.0,0.7,50.0,809.0,812.0,810.5,,5,5,0,,,,
9.0,2024-05-07,19:02:00,19:02:00,Second,Aimlabs,,,Mirage,T,4.0,0.0,10.0,1.0,0.0,2.0,545.0,38.0,0.0,Loss,850.0,1.0,0.41,49.0,911.0,924.0,917.5,,6,6,0,,,,
10.0,2024-05-08,16:24:00,16:24:00,First,,,,Inferno,T,8.0,3.0,5.0,6.0,1.0,2.0,1410.0,78.0,35.0,Win,820.0,1.0,1.38,50.0,792.0,793.0,792.5,,1,0,1,,,,
11.0,2024-05-08,17:12:00,17:12:00,Second,,,,Nuke,CT,3.0,0.0,4.0,11.0,0.0,10.0,1168.0,73.0,14.0,Loss,850.0,1.0,0.96,50.0,802.0,792.0,797.0,,2,2,0,,,,
12.0,2024-05-08,18:10:00,18:10:00,First,Aimlabs,,,Vertigo,T,7.0,5.0,10.0,4.0,2.0,6.0,1524.0,72.0,27.0,Win,820.0,5.0,,,,,0.0,,3,0,1,,,,
13.0,2024-05-08,20:46:00,20:46:00,Second,,,,Mirage,T,7.0,1.0,11.0,5.0,3.0,7.0,1318.0,62.0,46.0,Loss,820.0,5.0,,,,,0.0,,4,4,0,,,,
14.0,2024-05-08,21:27:00,21:27:00,First,,,,Mirage,CT,4.0,1.0,7.0,4.0,2.0,11.0,945.0,42.0,0.0,Loss,820.0,4.0,0.44,47.0,1214.0,1278.0,1246.0,,5,5,0,,,,
15.0,2024-05-08,22:20:00,22:20:00,Second,,,,Anubis,T,3.0,5.0,11.0,3.0,4.0,6.0,1207.0,60.0,50.0,Loss,797.0,5.0,0.7,50.0,1126.0,1124.0,1125.0,,6,6,0,,,,
16.0,2024-05-09,11:26:00,11:26:00,Second,,,,Vertigo,T,6.0,4.0,11.0,0.0,1.0,2.0,1173.0,83.0,33.0,Loss,772.0,1.0,0.72,50.0,633.0,632.0,632.5,,1,7,0,,,,
17.0,2024-05-09,12:18:00,12:18:00,First,Aimlabs,,,Vertigo,CT,13.0,2.0,3.0,10.0,2.0,8.0,1819.0,95.0,13.0,Win,747.0,1.0,1.63,50.0,788.0,789.0,788.5,,2,0,1,,,,
18.0,2024-05-10,20:14:00,20:14:00,Second,Aimlabs,,,Anubis,T,6.0,2.0,11.0,3.0,0.0,4.0,913.0,57.0,33.0,Loss,772.0,5.0,,,,,0.0,,1,3,0,,,,
19.0,2024-05-10,20:45:00,20:45:00,First,Aimlabs,,,Mirage,T,1.0,1.0,10.0,4.0,3.0,3.0,613.0,32.0,0.0,Win,772.0,5.0,0.44,48.0,1226.0,1279.0,1252.5,,2,0,1,,,,
20.0,2024-05-10,21:40:00,21:40:00,First,,,,Vertigo,CT,6.0,2.0,8.0,12.0,2.0,9.0,1881.0,81.0,33.0,Loss,798.0,5.0,1.14,48.0,1252.0,1294.0,1273.0,,3,3,0,,,,
21.0,2024-05-10,22:20:00,22:20:00,First,,,,Mirage,T,3.0,2.0,9.0,3.0,0.0,6.0,981.0,54.0,16.0,Loss,774.0,5.0,0.54,52.0,1225.0,1185.0,1205.0,,4,4,0,,,,
