ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
744.0,221.0,5.0,,22716.0,,15109.0,19457.0,,,,18636.0,,5.0,-7.0,3.0,6.0,6.0,6.0,-6.0,
745.0,221.0,32.0,,,,,,6473.0,,4574.0,4889.0,,-4.0,-5.0,-2.0,-4.0,-3.0,-7.0,-3.0,
750.0,221.0,5.0,,16389.0,16316.0,14689.0,16956.0,16609.0,18693.0,,,,-1.0,15.0,3.0,-11.0,-2.0,8.0,1.0,
752.0,41.0,221.0,23653.0,17185.0,22270.0,19464.0,25111.0,23269.0,,,22790.0,22172.0,-7.0,8.0,-1.0,7.0,-3.0,4.0,2.0,
753.0,5.0,311.0,19999.0,17616.0,17062.0,,21710.0,22185.0,21705.0,20686.0,23607.0,15624.0,-3.0,-7.0,-3.0,13.0,-6.0,0.0,3.0,
754.0,5.0,311.0,19892.0,17298.0,16950.0,,21588.0,22244.0,20114.0,15890.0,,19854.0,-3.0,6.0,-2.0,9.0,-9.0,0.0,0.0,
755.0,311.0,32.0,19890.0,,21987.0,17642.0,17362.0,,15724.0,20431.0,15415.0,22779.0,2.0,-7.0,-1.0,0.0,1.0,3.0,5.0,
756.0,32.0,311.0,22220.0,19220.0,21878.0,17319.0,17257.0,19999.0,20211.0,22424.0,,,1.0,-2.0,-1.0,2.0,1.0,6.0,0.0,
757.0,11111.0,5.0,,17649.0,17660.0,,17151.0,21469.0,,,,,4.0,10.0,0.0,-12.0,-2.0,1.0,-3.0,
758.0,2111.0,2111.0,,,,16486.0,16905.0,17804.0,,,,,-6.0,2.0,3.0,-1.0,-2.0,2.0,1.0,
759.0,221.0,5.0,15000.0,18857.0,16524.0,15107.0,16836.0,,,19418.0,,13538.0,9.0,0.0,5.0,2.0,0.0,7.0,7.0,
760.0,311.0,5.0,17378.0,11237.0,18218.0,19646.0,16170.0,16613.0,,19673.0,,13797.0,-6.0,2.0,2.0,-6.0,7.0,4.0,5.0,
761.0,41.0,221.0,22852.0,20106.0,18026.0,16512.0,19517.0,20000.0,19874.0,20000.0,17753.0,20876.0,-2.0,5.0,-5.0,7.0,-3.0,-4.0,2.0,
762.0,41.0,221.0,23205.0,18379.0,16880.0,20539.0,19675.0,,,,18935.0,19926.0,-3.0,-2.0,-1.0,7.0,3.0,10.0,1.0,
763.0,41.0,311.0,21726.0,23579.0,18734.0,17248.0,20980.0,22995.0,,,21484.0,20103.0,-2.0,-6.0,1.0,9.0,3.0,0.0,8.0,
764.0,41.0,11111.0,21001.0,23398.0,18542.0,16981.0,20861.0,21378.0,21346.0,20803.0,,20562.0,-1.0,-4.0,-1.0,2.0,4.0,1.0,3.0,
765.0,5.0,311.0,,,,9432.0,,7231.0,5764.0,5001.0,3669.0,4087.0,-12.0,-9.0,1.0,-12.0,2.0,-6.0,0.0,
766.0,5.0,311.0,,,,9488.0,,9609.0,,,5786.0,4761.0,-4.0,-12.0,0.0,-14.0,-2.0,1.0,0.0,
767.0,5.0,41.0,22144.0,19397.0,24271.0,17355.0,,23794.0,17041.0,20121.0,23059.0,19704.0,0.0,-2.0,-8.0,8.0,-3.0,6.0,-2.0,
768.0,5.0,2111.0,22509.0,19766.0,24638.0,17709.0,19657.0,,23523.0,,21097.0,21083.0,-10.0,4.0,-3.0,9.0,1.0,0.0,1.0,
769.0,5.0,311.0,22878.0,19999.0,24999.0,18080.0,19999.0,23308.0,21987.0,24674.0,17363.0,22195.0,-7.0,8.0,-5.0,4.0,-5.0,4.0,1.0,
770.0,221.0,41.0,4801.0,9417.0,5546.0,,6105.0,7136.0,7317.0,5010.0,6034.0,7736.0,10.0,4.0,-8.0,3.0,-13.0,1.0,-4.0,
771.0,2111.0,5.0,7487.0,,6457.0,,7270.0,4372.0,7392.0,10100.0,6574.0,,-1.0,2.0,5.0,-9.0,-2.0,5.0,-6.0,
772.0,5.0,41.0,,6776.0,1633.0,,9114.0,,5100.0,,,5135.0,8.0,3.0,-2.0,-3.0,1.0,5.0,1.0,
773.0,5.0,311.0,6457.0,,9005.0,1509.0,,5731.0,3638.0,5116.0,7086.0,3480.0,8.0,-1.0,0.0,0.0,-14.0,-4.0,0.0,
775.0,5.0,311.0,22583.0,19650.0,23806.0,,17639.0,22500.0,19343.0,18762.0,20593.0,20478.0,-6.0,4.0,-2.0,0.0,-2.0,0.0,1.0,
776.0,221.0,221.0,17283.0,,,19337.0,12177.0,17307.0,16343.0,15572.0,17260.0,16324.0,2.0,6.0,-5.0,-1.0,-3.0,-7.0,-4.0,
777.0,2111.0,2111.0,17640.0,15102.0,17112.0,16092.0,15393.0,16238.0,16588.0,15527.0,17519.0,14536.0,-6.0,8.0,1.0,2.0,-1.0,0.0,-4.0,
780.0,11111.0,32.0,18248.0,18115.0,18060.0,17351.0,17132.0,17639.0,19135.0,16747.0,15610.0,19238.0,-3.0,2.0,2.0,1.0,-2.0,1.0,-1.0,
781.0,2111.0,41.0,21907.0,,18744.0,18470.0,18190.0,19883.0,14279.0,21063.0,19078.0,16683.0,2.0,-5.0,-8.0,-6.0,2.0,12.0,0.0,
782.0,311.0,311.0,18134.0,18057.0,18029.0,18042.0,16842.0,21801.0,14720.0,15651.0,,17557.0,-3.0,2.0,-1.0,-2.0,7.0,1.0,0.0,
783.0,221.0,311.0,18477.0,16590.0,17670.0,14877.0,,17817.0,16575.0,18326.0,17942.0,17042.0,-8.0,-4.0,2.0,-5.0,2.0,2.0,6.0,
784.0,2111.0,221.0,18967.0,17320.0,18020.0,19945.0,14095.0,19292.0,,20818.0,14335.0,17628.0,0.0,1.0,0.0,-4.0,1.0,-2.0,7.0,
