ID,PlayerID,Date,LocalTime,StandardTime,PickBan,WarmUp,Advantage,Map,StartSide,TKills,TAssists,TDeaths,CTKills,CTAssists,CTDeaths,Damage,ADR,HS,Result,Rank,Queue,Rating,AvgFriendly,AvgEnemy,AverageOverall,Comments,KASTPercentage,GamesToday,LossStreak,WinStreak,LeetifyRating,LeetifyPosition,LeetifyAim,LeetifyUtility
1.0,1.0,2023-10-02,11:25:00,11:25:00,Second,,Neither,Nuke,CT,8.0,1.0,6.0,6.0,2.0,6.0,1420.0,67.0,35.0,Win,3739,1.0,,,,,,,1,0,1,,,,
2.0,1.0,2023-10-03,11:34:00,11:34:00,Second,,Us,Anubis,CT,0.0,3.0,5.0,5.0,4.0,10.0,925.0,40.0,20.0,Win,3940,1.0,,,,,,,1,0,2,,,,
3.0,1.0,2023-10-03,20:31:00,20:31:00,Second,AimLabs,Us,Overpass,T,3.0,2.0,10.0,2.0,2.0,4.0,892.0,55.0,40.0,Loss,3999,1.0,,,,,,,2,1,0,,,,
4.0,1.0,2023-10-03,21:13:00,21:13:00,First,,Them,Inferno,T,11.0,1.0,6.0,2.0,3.0,8.0,1286.0,61.0,30.0,Loss,3999,5.0,,,,,,,3,2,0,,,,
5.0,1.0,2023-10-03,22:18:00,22:18:00,Second,,Them,Ancient,CT,15.0,0.0,7.0,3.0,1.0,10.0,2289.0,104.0,66.0,Loss,3999,5.0,,,,,,,4,3,0,,,,
6.0,1.0,2023-10-04,10:31:00,10:31:00,First,,Neither,Vertigo,T,8.0,3.0,10.0,5.0,4.0,7.0,1683.0,84.0,23.0,Loss,3999,1.0,,,,,,,1,4,0,,,,
7.0,1.0,2023-10-04,11:17:00,11:17:00,Second,AimLabs,Us,Inferno,CT,0.0,0.0,0.0,10.0,1.0,5.0,,62.0,20.0,Win,3999,1.0,,,,,S,,2,0,1,,,,
8.0,1.0,2023-10-04,22:24:00,22:24:00,Second,,Them,Mirage,CT,12.0,3.0,8.0,5.0,4.0,11.0,2046.0,85.0,29.0,Loss,4111,3.0,,,,,,,3,1,0,,,,
9.0,1.0,2023-10-04,23:29:00,23:29:00,First,,Them,Nuke,T,7.0,,8.0,3.0,,9.0,1380.0,57.0,20.0,Loss,4010,3.0,,,,,,,4,2,0,,,,
10.0,1.0,2023-10-05,21:20:00,21:20:00,Second,,Us,Overpass,T,6.0,2.0,10.0,0.0,1.0,4.0,635.0,39.0,33.0,Loss,4000,2.0,,,,,,,1,3,0,,,,
11.0,1.0,2023-10-05,21:52:00,21:52:00,Second,,Us,Ancient,CT,4.0,4.0,4.0,6.0,1.0,11.0,890.0,46.0,0.0,Loss,4000,1.0,,,,,,,2,4,0,,,,
12.0,1.0,2023-10-05,23:27:00,23:27:00,Second,,Us,Nuke,T,3.0,3.0,11.0,1.0,0.0,4.0,766.0,49.0,25.0,Loss,4000,3.0,,,,,,,3,5,0,,,,
13.0,1.0,2023-10-05,23:56:00,23:56:00,First,,Us,Vertigo,CT,6.0,1.0,7.0,4.0,4.0,12.0,1424.0,74.0,30.0,Loss,4000,5.0,,,,,,,4,6,0,,,,
14.0,1.0,2023-10-06,15:53:00,15:53:00,First,AimLabs,Neither,Overpass,CT,5.0,3.0,4.0,11.0,7.0,7.0,1974.0,116.0,31.0,Win,4000,1.0,,,,,,,1,0,1,,,,
15.0,1.0,2023-10-08,10:23:00,10:23:00,Second,,Them,Vertigo,T,7.0,4.0,11.0,1.0,1.0,4.0,1068.0,66.0,37.0,Loss,4112,1.0,,,,,,,1,1,0,,,,
16.0,1.0,2023-10-08,10:57:00,10:57:00,Second,,Us,Overpass,CT,5.0,1.0,3.0,5.0,4.0,7.0,1308.0,72.0,40.0,Win,4000,1.0,,,,,,,2,0,1,,,,
17.0,1.0,2023-10-08,11:28:00,11:28:00,First,,Us,Anubis,T,9.0,2.0,7.0,8.0,2.0,8.0,2128.0,92.0,23.0,Loss,4107,1.0,,,,,,,3,1,0,,,,
18.0,1.0,2023-10-08,21:25:00,21:25:00,First,,Them,Mirage,T,1.0,4.0,11.0,1.0,2.0,4.0,737.0,100.0,43.0,Loss,4000,1.0,,,,,,,4,2,0,,,,
19.0,1.0,2023-10-08,21:55:00,21:55:00,First,,Us,Mirage,T,4.0,5.0,11.0,9.0,1.0,11.0,1368.0,45.0,23.0,Tie,4000,1.0,,,,,,,5,0,0,,,,
20.0,1.0,2023-10-08,22:47:00,22:47:00,First,,Neither,Inferno,T,13.0,4.0,6.0,10.0,3.0,10.0,2742.0,97.0,39.0,Win,4053,1.0,,,,,,,6,0,1,,,,
21.0,1.0,2023-10-09,10:27:00,10:27:00,Second,AimLabs,Them,Vertigo,T,4.0,1.0,9.0,6.0,2.0,9.0,1318.0,54.0,40.0,Win,4168,1.0,,,,,,,1,0,2,,,,
22.0,1.0,2023-10-09,11:16:00,11:16:00,First,AimLabs,Us,Mirage,T,8.0,1.0,9.0,5.0,1.0,7.0,1599.0,72.0,38.0,Loss,4271,1.0,,,,,EL,,2,1,0,,,,
23.0,1.0,2023-10-09,23:15:00,23:15:00,Second,,Them,Nuke,CT,11.0,5.0,7.0,8.0,5.0,7.0,2316.0,96.0,36.0,Win,4000,3.0,,,,,,,3,0,1,,,,
24.0,1.0,2023-10-09,23:58:00,23:58:00,Second,,Us,Anubis,CT,1.0,0.0,4.0,6.0,4.0,9.0,1005.0,62.0,28.0,Loss,4110,3.0,,,,,,,4,1,0,,,,
25.0,1.0,2023-10-10,14:39:00,14:39:00,Second,AimLabs,Us,Overpass,T,2.0,4.0,9.0,8.0,3.0,10.0,1372.0,57.0,20.0,Loss,4000,1.0,,,,,TML,,1,2,0,,,,
26.0,1.0,2023-10-11,10:22:00,10:22:00,First,AimLabs,Us,Mirage,CT,3.0,3.0,10.0,5.0,6.0,9.0,1246.0,51.0,12.0,Loss,4000,1.0,,,,,,,1,3,0,,,,
27.0,1.0,2023-10-11,11:15:00,11:15:00,First,AimLabs,Us,Inferno,T,6.0,5.0,9.0,2.0,1.0,1.0,976.0,57.0,12.0,Win,3613,1.0,,,,,,,2,0,1,,,,
28.0,1.0,2023-10-14,17:28:00,17:28:00,Second,,Them,Vertigo,CT,12.0,1.0,4.0,7.0,2.0,10.0,1765.0,84.0,42.0,Loss,3750,3.0,,,,,,,1,1,0,,,,
29.0,1.0,2023-10-14,19:17:00,19:17:00,Second,,Us,Anubis,CT,5.0,2.0,5.0,8.0,2.0,8.0,1474.0,77.0,30.0,Loss,3750,1.0,,,,,,,2,2,0,,,,
30.0,1.0,2023-10-14,22:33:00,22:33:00,Second,,Them,Vertigo,CT,0.0,0.0,0.0,0.0,1.0,5.0,,7.0,0.0,Loss,3750,1.0,,,,,S,,3,3,0,,,,
31.0,1.0,2023-10-14,22:53:00,22:53:00,Second,AimLabs,Them,Nuke,T,9.0,1.0,9.0,8.0,1.0,2.0,1419.0,70.0,23.0,Win,3750,1.0,,,,,EL,,4,0,1,,,,
32.0,1.0,2023-10-15,10:49:00,10:49:00,Second,AimLabs,Us,Overpass,CT,4.0,1.0,3.0,7.0,4.0,10.0,1362.0,75.0,18.0,Win,3866,1.0,,,,,EL,,1,0,2,,,,
33.0,1.0,2023-10-15,11:26:00,11:26:00,First,,Us,Mirage,T,11.0,4.0,9.0,10.0,3.0,7.0,1768.0,76.0,23.0,Loss,3973,1.0,,,,,,,2,1,0,,,,
34.0,1.0,2023-10-15,15:37:00,15:37:00,Second,AimLabs,Us,Nuke,CT,0.0,1.0,2.0,8.0,3.0,11.0,1068.0,76.0,25.0,Loss,3973,1.0,,,,,,,3,2,0,,,,
35.0,1.0,2023-10-15,18:31:00,18:31:00,First,,Us,Vertigo,T,14.0,3.0,11.0,10.0,5.0,7.0,2208.0,100.0,29.0,Loss,3973,1.0,,,,,,,4,3,0,,,,
36.0,1.0,2023-10-15,19:15:00,19:15:00,First,,Us,Overpass,T,9.0,3.0,6.0,3.0,2.0,9.0,1394.0,63.0,25.0,Loss,3973,1.0,,,,,,,5,4,0,,,,
37.0,1.0,2023-10-15,20:37:00,20:37:00,First,,Us,Nuke,T,8.0,3.0,8.0,4.0,2.0,7.0,1664.0,83.0,26.0,Loss,3973,1.0,,,,,,,6,5,0,,,,
38.0,1.0,2023-10-15,21:34:00,21:34:00,Second,AimLabs,Us,Overpass,CT,5.0,5.0,6.0,12.0,2.0,5.0,1975.0,98.0,29.0,Win,3973,1.0,,,,,,,7,0,1,,,,
39.0,1.0,2023-10-15,22:42:00,22:42:00,First,AimLabs,Us,Mirage,CT,4.0,1.0,3.0,14.0,4.0,6.0,1833.0,114.0,11.0,Win,4079,1.0,,,,,,,8,0,2,,,,
